"Species","Metabolic_rate"
"A",0.369385900685492
"A",0.606495165268205
"A",0.565637540205046
"A",0.418352219947038
"A",0.572821857515413
"A",0.330236588738936
"A",0.604916067253415
"A",0.533671328992217
"A",0.45777262208129
"A",0.526674455317587
"A",0.529980602715604
"A",0.409163735284848
"A",0.456311608683266
"A",0.465257903111991
"A",0.692887256243914
"A",0.539754872265383
"A",0.659755755935955
"A",0.56317030007795
"A",0.464631779112357
"A",0.57657952505784
"B",0.711328292118508
"B",0.625150374550374
"B",0.67499326675106
"B",0.681993702473118
"B",0.788056490233949
"B",0.730649053204385
"B",0.867433768967066
"B",0.853334344836263
"B",1.0035757872879
"B",0.632714500891573
"B",0.751755669060109
"B",0.681863702821682
"B",0.863086759973589
"B",0.909126352015289
"B",0.769505621085088
"B",0.724809594948497
"B",0.758077924099366
"B",0.765498847739066
"B",0.743745353998118
"B",0.667288078482038
